"project_key","project_name","scenario","condition_code","condition_label","model","repetition","ncloc","code_smells","complexity","cognitive_complexity","duplicated_lines_density","duplicated_blocks","sqale_index","sqale_rating"
"esc1-ind-claude-r1","esc1-ind-claude-r1","esc1","ind","induced","claude","r1","152","0","19","1","0","0","0","1"
"esc1-ind-claude-r2","esc1-ind-claude-r2","esc1","ind","induced","claude","r2","165","0","19","2","0","0","0","1"
"esc1-ind-claude-r3","esc1-ind-claude-r3","esc1","ind","induced","claude","r3","161","0","19","1","0","0","0","1"
"esc1-ind-claude-r4","esc1-ind-claude-r4","esc1","ind","induced","claude","r4","143","0","9","1","0","0","0","1"
"esc1-ind-claude-r5","esc1-ind-claude-r5","esc1","ind","induced","claude","r5","160","0","19","2","0","0","0","1"
"esc1-ind-gemini-r1","esc1-ind-gemini-r1","esc1","ind","induced","gemini","r1","115","4","16","1","0","0","14","1"
"esc1-ind-gemini-r2","esc1-ind-gemini-r2","esc1","ind","induced","gemini","r2","102","1","14","0","0","0","5","1"
"esc1-ind-gemini-r3","esc1-ind-gemini-r3","esc1","ind","induced","gemini","r3","111","1","15","1","0","0","5","1"
"esc1-ind-gemini-r4","esc1-ind-gemini-r4","esc1","ind","induced","gemini","r4","112","2","16","1","0","0","10","1"
"esc1-ind-gemini-r5","esc1-ind-gemini-r5","esc1","ind","induced","gemini","r5","115","2","16","1","0","0","10","1"
"esc1-ind-gpt-r1","esc1-ind-gpt-r1","esc1","ind","induced","gpt","r1","175","0","19","1","0","0","0","1"
"esc1-ind-gpt-r2","esc1-ind-gpt-r2","esc1","ind","induced","gpt","r2","138","1","17","1","0","0","5","1"
"esc1-ind-gpt-r3","esc1-ind-gpt-r3","esc1","ind","induced","gpt","r3","147","0","19","1","0","0","0","1"
"esc1-ind-gpt-r4","esc1-ind-gpt-r4","esc1","ind","induced","gpt","r4","140","0","18","1","0","0","0","1"
"esc1-ind-gpt-r5","esc1-ind-gpt-r5","esc1","ind","induced","gpt","r5","144","1","17","1","0","0","5","1"
"esc1-ind-grok-r1","esc1-ind-grok-r1","esc1","ind","induced","grok","r1","225","8","25","10","0","0","64","1"
"esc1-ind-grok-r2","esc1-ind-grok-r2","esc1","ind","induced","grok","r2","144","5","17","6","0","0","19","1"
"esc1-ind-grok-r3","esc1-ind-grok-r3","esc1","ind","induced","grok","r3","165","7","20","0","0","0","26","1"
"esc1-ind-grok-r4","esc1-ind-grok-r4","esc1","ind","induced","grok","r4","134","6","16","0","0","0","21","1"
"esc1-ind-grok-r5","esc1-ind-grok-r5","esc1","ind","induced","grok","r5","133","6","18","2","0","0","21","1"
"esc1-neu-claude-r1","esc1-neu-claude-r1","esc1","neu","neutral","claude","r1","337","3","35","3","0","0","15","1"
"esc1-neu-claude-r2","esc1-neu-claude-r2","esc1","neu","neutral","claude","r2","251","5","21","3","0","0","25","1"
"esc1-neu-claude-r3","esc1-neu-claude-r3","esc1","neu","neutral","claude","r3","276","1","22","5","0","0","5","1"
"esc1-neu-claude-r4","esc1-neu-claude-r4","esc1","neu","neutral","claude","r4","268","1","21","4","0","0","5","1"
"esc1-neu-claude-r5","esc1-neu-claude-r5","esc1","neu","neutral","claude","r5","306","4","21","5","0","0","10","1"
"esc1-neu-gemini-r1","esc1-neu-gemini-r1","esc1","neu","neutral","gemini","r1","247","2","12","2","0","0","10","1"
"esc1-neu-gemini-r2","esc1-neu-gemini-r2","esc1","neu","neutral","gemini","r2","182","4","24","1","0","0","14","1"
"esc1-neu-gemini-r3","esc1-neu-gemini-r3","esc1","neu","neutral","gemini","r3","181","7","23","1","0","0","29","1"
"esc1-neu-gemini-r4","esc1-neu-gemini-r4","esc1","neu","neutral","gemini","r4","201","9","24","1","0","0","36","1"
"esc1-neu-gemini-r5","esc1-neu-gemini-r5","esc1","neu","neutral","gemini","r5","186","8","23","0","0","0","31","1"
"esc1-neu-gpt-r1","esc1-neu-gpt-r1","esc1","neu","neutral","gpt","r1","349","9","39","14","0","0","172","1"
"esc1-neu-gpt-r2","esc1-neu-gpt-r2","esc1","neu","neutral","gpt","r2","261","5","31","6","0","0","88","1"
"esc1-neu-gpt-r3","esc1-neu-gpt-r3","esc1","neu","neutral","gpt","r3","244","0","28","2","0","0","0","1"
"esc1-neu-gpt-r4","esc1-neu-gpt-r4","esc1","neu","neutral","gpt","r4","273","7","32","7","0","0","132","1"
"esc1-neu-gpt-r5","esc1-neu-gpt-r5","esc1","neu","neutral","gpt","r5","312","4","33","4","0","0","38","1"
"esc1-neu-grok-r1","esc1-neu-grok-r1","esc1","neu","neutral","grok","r1","280","3","15","1","0","0","12","1"
"esc1-neu-grok-r2","esc1-neu-grok-r2","esc1","neu","neutral","grok","r2","271","7","30","11","0","0","26","1"
"esc1-neu-grok-r3","esc1-neu-grok-r3","esc1","neu","neutral","grok","r3","258","13","28","11","0","0","131","1"
"esc1-neu-grok-r4","esc1-neu-grok-r4","esc1","neu","neutral","grok","r4","215","8","25","10","0","0","64","1"
"esc1-neu-grok-r5","esc1-neu-grok-r5","esc1","neu","neutral","grok","r5","222","4","25","8","0","0","50","1"
"esc2-ind-claude-r1","esc2-ind-claude-r1","esc2","ind","induced","claude","r1","439","0","34","5","0","0","0","1"
"esc2-ind-claude-r2","esc2-ind-claude-r2","esc2","ind","induced","claude","r2","431","3","36","12","0","0","8","1"
